ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,"Short description",Description,Stock,"Sold individually?","Weight (lbs)","Sale price","Regular price",Categories,Tags,Images,Parent,"Grouped products","Cost of goods",Brands,"Meta: shopengine_product_views_count","Meta: ekit_post_views_count","Meta: b2bking_regular_product_price_group_555","Meta: b2bking_sale_product_price_group_555","Meta: b2bking_product_pricetiers_group_555","Meta: b2bking_product_pricetiers_group_b2c","Meta: b2bking_show_pricing_table","Meta: b2bking_show_variations_table","Meta: b2bking_show_information_table","Meta: b2bking_tiered_sum_up_variations","Meta: b2bking_apply_minmaxstep_individual_variations","Meta: b2bking_quantity_product_min_b2c","Meta: b2bking_quantity_product_max_b2c","Meta: b2bking_quantity_product_step_b2c","Meta: b2bking_quantity_product_min_555","Meta: b2bking_quantity_product_max_555","Meta: b2bking_quantity_product_step_555","Meta: b2bking_product_customrows_group_555","Meta: b2bking_product_customrows_group_b2c","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: _wc_facebook_sync_enabled","Meta: fb_visibility","Meta: b2bking_variations_table_location"
851,simple,STARTER-KIT-R,,"*StaRter Kit R*","Includes GLP-3 20mg, Tesamorelin 10mg, GHK-Cu 50mg, BPC-157 5mg + Researcher’s Case.","Starter Kit R* Includes:\n- GLP-3, 20mg\n- Tesamorelin, 10mg\n- GHK-Cu, 50mg\n- BPC-157, 5mg\n+ Bonus Starter’s Case",6,0,,,159.99,Kits,,,,,,,20,21,,,,,yes,no,yes,no,no,,,,,,,,,,,,,,,
852,simple,STARTER-KIT-T,,"*StarTer Kit T*","Includes GLP-2 30mg, Tesamorelin 10mg, GHK-Cu 50mg, BPC-157 5mg + Researcher’s Case.","Starter Kit T* Includes:\n- GLP-2, 30mg\n- Tesamorelin, 10mg\n- GHK-Cu, 50mg\n- BPC-157, 5mg\n+ Bonus Starter’s Case",9,0,,,154.99,Kits,,,,,,,19,23,,,,,yes,no,yes,no,no,,,,,,,,,,,,,,,
855,simple,BPC-157,,BPC-157,"Single 5mg vial.","BPC-157 is a synthetic peptide derived from a naturally occurring protein found in the stomach. Commonly studied for regenerative capabilities in soft tissue and gut models.",2,0,,,17.99,"Immune & Anti-Inflammatory",,https://premierbiolabs.com/wp-content/uploads/2025/09/bpc-157-5mg-5-sbr-bpc-157-5mg.webp,,,,,17,20,,,,,,,,,,,,,,,,,,,,,,,,
857,variable,GHK-CU,,GHK-CU,"Single 50mg vial.","GHK-Cu is a copper peptide studied for collagen production, skin remodeling, and wound healing; anti-inflammatory and antioxidant effects.",7,0,,,,"Anti-Aging, Skin & Hair",,https://premierbiolabs.com/wp-content/uploads/2025/09/ghk-cu-50mg-50-sbr-ghk-cu-50mg.webp,,,,,17,20,,,,,yes,no,yes,no,no,,,,,,,,,Strength,50mg,1,0,yes,yes,below
858,variable,GLP-2-T,,"GLP-2 (T*)","Single 30mg vial.","GLP-2 (T*) is a dual-action peptide designed to improve glucose control and support weight loss; research suggests enhanced insulin sensitivity and metabolic health.",88,0,,,,GLP,,https://premierbiolabs.com/wp-content/uploads/2025/09/glp-2-t-30mg-30-sbr-glp-2-t-30mg.webp,,,,,15,18,,,,,yes,no,yes,no,no,,,,,,,,,Strength,10mg,1,0,yes,yes,
861,variable,GLP-3-R,,"GLP-3 (R*)","Single 20mg vial.","GLP-3 (R*) targets multiple metabolic pathways for glucose regulation and weight management; research indicates improved insulin sensitivity and metabolic function.",27,0,,,,GLP,,https://premierbiolabs.com/wp-content/uploads/2025/09/glp-3-r-20mg-20-sbr-glp-3-r-20mg.webp,,,,,20,23,,,,,yes,no,yes,no,no,,,,,,,,,Strength,"20mg, 30mg",1,0,yes,yes,
864,variable,TESAMORELIN,,Tesamorelin,"Single 10mg vial.","Tesamorelin is a GHRH analog that stimulates endogenous growth hormone. Research supports benefits in abdominal fat reduction and metabolic health.",74,0,,,,"Anti-Aging, Growth Hormone",,https://premierbiolabs.com/wp-content/uploads/2025/09/tesamorelin-10mg-10-sbr-tesamorelin-10mg.webp,,,,,30,34,,,,,,,,,,,,,,,,,,Strength,10mg,1,0,yes,yes,
1097,variable,,,NAD+,,,,0,,,,Uncategorized,,,,,,,8,10,,,,,yes,no,yes,no,no,,,,,,,,,Stength,500mg,1,0,yes,yes,below
1100,variation,,,"GHK-CU - 50mg",,,,0,,,22.99,,,,GHK-CU,,,,,,,,,,,,,,,,,,,,,,,Strength,50mg,,0,,,
1093,variation,,,"GLP-2 (T*) - 10mg",,,,0,,,,,,,GLP-2-T,,,,,,,,,,,,,,,,,,,,,,,Strength,10mg,,0,,,
1089,variation,,,"GLP-3 (R*) - 20mg",,,,0,,,89.99,,,,GLP-3-R,,,,,,,,,,,,,,,,,,,,,,,Strength,20mg,,0,,,
1090,variation,,,"GLP-3 (R*) - 30mg",,,,0,,,134.99,,,,GLP-3-R,,,,,,,,,,,,,,,,,,,,,,,Strength,30mg,,0,,,
1092,variation,,,"Tesamorelin - 10mg",,,,0,,,39.99,,,,TESAMORELIN,,,,,,,,,,,,,,,,,,,,,,,Strength,10mg,,0,,,
1099,variation,,,"NAD+ - 500mg",,,,0,,,,,,,id:1097,,,,,,,,,,,,,,,,,,,,,,,Stength,500mg,,0,,,
